,text,cmp_code
0,Social and Democratic.,NA
1,"Tackle. For Germany. SPD Government Program 2009 2013 Adopted at the Extraordinary Federal Party Congress in Berlin on June 14, 2009.",NA
2,I. A new decade 1. Time for decisions,NA
3,"On September 27, 2009, it will be decided who will govern Germany for the next four years.",305
4,Who people confide in.,305
5,Who they trust to lead our country safely through the crisis.,408
6,That it fights for jobs and strengthens the forces of growth.,408
7,"That it has a clear compass, holds its course in turbulent times and provides security.",305
8,But much more is decided.,000
9,It will be decided what happens after the crisis in our country.,000
10,Whether this will lead to a move towards more democracy,202
11,and new common ground.,606
12,Whether a sense of responsibility and reason will regain the upper hand.,403
13,Whether we learn the right lessons from the global financial and economic crisis and set rules and limits to market forces.,403
14,"Whether we create a sustainable Germany that strikes a balance between economic, social and environmental goals.",416
15,It will determine whether we want to be a society of solidarity in which the strong bear greater burdens and the weak are given real opportunities to become strong.,503
16,And whether the many people who have come to us will find a good home in our country with their children.,607
17,Many say: This crisis was an industrial accident.,000
18,"Let's fix it, then it will be business as usual.''",000
19,This view is wrong!,305
20,Because this crisis is more than just a normal economic slump.,305
21,It is the result of an ideology that focuses on maximum profit and not on people.,403
22,And that's why our response must be more than a stimulus package.,408
23,We conclude: The market-radical age has failed.,403
24,We are at a turning point in time.,305
25,Answering the distribution questions in a social democratic sense strengthens our democracy,202
26,and our social market economy.,403
27,We Social Democrats want social democracy.,503
28,"And that also means the welfare state and the social market economy in Germany, in Europe and worldwide.",403
29,The economy is there for the people and not vice versa.,403
30,We Social Democrats invite all people to join us on the path of renewal.,305
31,Because that's what it's all about: Powerful renewal for our country!,305
32,Our government program is an offer to the whole of society.,305
33,"It is aimed at all those who want to make our country better, fairer and more humane.",503
34,To all who are committed to the principles of fairness and solidarity.,503
35,"To all citizens, we say: We know how hard you work for yourselves and your families.",701
36,"We make you a fair offer: more support for families and for better kindergartens and schools,",603
37,a simpler tax system.,303
38,We want older people to be able to participate in public and political life without restriction and to contribute their life experience.,706
39,We know that some need help.,503
40,We do not leave anyone alone.,503
41,"We want all people to be able to lead a self-determined life, to",503
42,have a fairly paid job,701
43,and to be able to advance through education.,503
44,We know that there are many long-term thinking entrepreneurs and managers for whom performance and responsibility go hand in hand.,704
45,We want to work with them to ensure that the economy serves people.,403
46,Help make our education system better.,506
47,And let's work together to renew the economy and create sustainable jobs.,408
48,We are being presented with a historic opportunity that comes perhaps only once in a generation.,403
49,We can re-found the idea of the social market economy.,403
50,And we want to take advantage of this opportunity.,403
51,We Social Democrats have shown over the past ten years in government that we have the courage to take responsibility.,305
52,We have not dodged difficult decisions.,305
53,"Since 1998, we have courageously opened the windows and changed the country for the better:",305
54,- Germany has proven itself as a peace power in Europe and the world.,106
55,- Germany has become more modern and more open to the world - the stale atmosphere of the Kohl years has been overcome. -,305
56,Germany is an international pioneer in the fight against climate change,501
57,and has decided to phase out nuclear energy.,501
58,- Germany has made its social security systems fit for the future through courageous reforms.,503
59,We have not done everything right during this time and have not yet achieved some things.,305
60,"But our compass is intact, the direction is right.",305
61,Now we're taking another run at it.,305
62,Anniversary Year 2009: Remembering and Looking Forward,NA
63,This year we remember and we look forward.,000
64,"Twenty years ago, courageous men and women in eastern Germany made the unification of our country possible through their peaceful resistance.",601
65,"Much has been achieved in recent years, and much remains to be done.",305
66,We want to complete social unity and take the steps resolutely.,606
67,"60 years ago, after the terrible terror of the Nazis and the war that started from Germany and devastated Europe, our country was also rebuilt.",000
68,"With the Basic Law, we have a democratic constitution that is a living, demanding and humane foundation for our coexistence.",203
69,The Basic Law determines the principles of our coexistence.,203
70,No one is allowed to get behind that.,203
71,It doesn't get any clearer or better than that:,203
72,- Human dignity is inviolable.,201
73,- The freedom of the person is inviolable.,201
74,- All people are equal before the law.,201
75,- Men and women have equal rights.,503
76,- Everyone has the right to express his or her opinion freely.,201
77,- Property is an obligation.,403
78,- We are a democratic and social federal state.,202
79,We want a country and a society that live by the rules of the Basic Law and that give respect to these rules where it proves necessary.,203
80,2 Ownership obligates: The Social Market Economy,NA
81,We face daunting tasks.,305
82,Irresponsible and in some cases unscrupulous actions on the international financial markets have plunged the world into a severe economic crisis.,403
83,"Germany, as one of the most important industrialized countries, is not spared.",408
84,Millions of workers around the world and countless companies are now having to pay for what others have left behind in their heedless pursuit of profits.,701
85,The task of policymakers is to manage the consequences and prevent a repeat of this crisis.,403
86,Security and justice: acting in the crisis,NA
87,"With the rescue package for the financial market, we secured the supply of credit to the German economy and prevented a collapse.",412
88,"At the same time, Frank-Walter Steinmeier has taken the initiative for a protective umbrella for jobs.",701
89,- Creating security.,412
90,"At our initiative, the German government has guaranteed private savings deposits.",412
91,No one has to worry about their savings.,412
92,- Setting impulses.,410
93,"With the two economic stimulus programs totaling more than 80 billion euros, we are providing a strong impetus for growth that will be felt above all in the municipalities",410
94,and secure jobs in small and medium-sized enterprises.,403
95,- Securing jobs.,408
96,We fight for every job.,408
97,The extension of the short-time allowance has secured hundreds of thousands of jobs in Germany.,408
98,We promote the qualification of employees.,411
99,Qualify instead of dismiss - that is our principle.,411
100,We will massively expand the offerings for continuing education.,411
101,Qualified workers have a better future.,411
102,- Supporting the unemployed.,701
103,We care for those who lose their jobs.,701
104,We want them to get back to work as soon as possible.,701
105,We therefore need more mediators at the employment agencies and job centers - and better mediation.,701
106,Qualification opportunities for job seekers must be deployed swiftly and in a targeted manner.,411
107,"Where companies are unable to prevent job cuts despite their best efforts, transfer companies help.",405
108,They are the social partnership way for employees to reorient themselves on the labor market.,405
109,We will therefore ensure that employees in transfer companies receive intensive support and training.,411
110,All support instruments of labor market policy must be open to them.,701
111,- Sharing the burden fairly.,503
112,The burden of the crisis must not be placed unilaterally on citizens.,503
113,We need solidarity-based burden sharing that allows those responsible for the crisis and the wealthy to share in the financial burden.,503
114,- Enforce new rules.,403
115,The financial markets need new rules.,403
116,Greed must be stopped.,403
117,We have pushed through initial rules in the national framework,403
118,and are now also achieving progress in the international framework after many years of efforts by social democratic finance ministers.,107
119,But there will be a long way to go before the primacy of politics is established.,404
120,"Now it is proving that we Social Democrats and Social Democrats have always placed our faith in Germany's industrial base and, unlike parts of the CDU/CSU and the FDP, have never questioned its character as an industrialized country.",411
121,The fact that we have focused on innovation and the consistent modernization of our economy is now proving its worth.,411
122,Now it is proving that we have made the German labor market more crisis-proof through reforms.,408
123,"But: Politics must not only repair, politics must act with foresight, recognize the causes of the crises and eliminate them.",404
124,"Market radicalism has failed worldwide, and with it the policies of significant sections of the CDU/CSU and FDP.",403
125,Restart of the Social Market Economy,NA
