Title,Political Lean,Score,Text
"McConnell reprende a los demócratas por estar de acuerdo con el Partido Republicano sobre las restricciones por el Covid. ¿Alguien podría explicarle a MOSCOW MITCH matemáticas básicas? Al permitir que Rusia hackee nuestras elecciones, Moscow Mitch tiene la calificación perfecta para convertirse en líder del Partido Republicano, jajaja",Liberal,59,
El robo multimillonario de Biden en Afganistán apenas recibe mención en los noticieros de televisión,Liberal,9,
"El representante Jim Jordan parece respaldar el comentario de Trump sobre la ejecución de los asistentes de Clinton. Jackass Jordan, que logró mantener su GRAN boca cerrada cuando los niños a su alrededor sufrían abusos sexuales, sí, ese Jackass Jordan ahora habla de esto, tal vez deberíamos comenzar con Jackass Jordan.",Liberal,3,
Con mucho gusto observaré cómo los fascistas reciben el mismo trato que recibieron los comunistas en estos países.,Bolivia elogia comisión que investigará conducta de jueces,5,
Acabo de ir a comprar El Manifiesto Comunista y el cajero no dejaba de advertirme sobre ello.,El momento de Mark Fisher,87,"Antes de que el empleado de la tienda me entregara el libro, básicamente me estaba diciendo que Karl Marx no tenía idea de lo que estaba hablando y que su filosofía era un montón de tonterías. Y luego procedió a recomendarme un libro sobre los males del comunismo. 

Y yo le dije: ""Hermano, tú eres el trabajador explotado del que hablaba Marx""."
Sobre la abolición y “los pocos peligrosos”,Liberal,5,
El plan canadiense de cuidado infantil es básicamente el plan demócrata de cuidado infantil.,Liberal,40,
Los proyectos de ley que boicotean la inversión climática inundan las capitales de los estados,Liberal,21,
"La policía de San Francisco vinculó a una mujer con un crimen usando el ADN de su examen de violación, dice el fiscal Boudin",Liberal,74,
Me alegro de que haya una sección completa sobre esto.,Liberal,118,
Liberal,Liberal,8,"Hola a todos, mi novia me presentó a Marx hace un año y desde entonces me ha fascinado. He estado leyendo a Marx, Engels y hace poco leí Los colonos de J. Sakai. Estaba a punto de empezar con Lenin. Sin embargo, he notado que mucha gente habla con desdén de los trotskistas. No estoy muy familiarizado con Trotsky y me preguntaba de dónde viene esto, si alguien podría explicármelo."
"Biden promete ""unir al mundo"" contra Rusia si Ucrania es invadida",Liberal,217,
Israel sobre Palestina,Putin revela que está abiertamente en contra del pasado socialista de la Unión Soviética,5,
Marca basada,Liberal,415,
"La Alianza Negra por la Paz condena la ""Ley América COMPETES""",Liberal,5,
