,text,libertad_personal_score,libertad_economica_score,text_processed
0,Las políticas salariales moderadas pueden aumentar los ingresos sin afectar negativamente al empleo.,0,-1,política salarial moderado poder aumentar ingreso afectar negativamente empleo
1,La financiación equilibrada de la educación debe apoyar tanto a las instituciones públicas como a las privadas.,0,1,financiación equilibrado educación deber apoyar institución público privado
2,Debe procurarse el desarrollo económico garantizando al mismo tiempo la sostenibilidad del medio ambiente.,0,0,deber procurar él desarrollo económico garantizar mismo tiempo sostenibilidad medio ambiente
3,Los créditos fiscales para la investigación y el desarrollo pueden impulsar los avances tecnológicos.,0,1,crédito fiscal investigación desarrollo poder impulsar avance tecnológico
4,La inversión pública debe equilibrar el crecimiento económico con los beneficios comunitarios.,0,0,inversión público deber equilibrar crecimiento económico beneficio comunitario
5,Es necesario fortalecer las políticas de cambio climático para proteger el medio ambiente y la salud pública.,0,-1,necesario fortalecer política cambio climático proteger medio ambiente salud público
6,"Las protecciones ambientales moderadas pueden salvaguardar los ecosistemas y, al mismo tiempo, apoyar el crecimiento.",0,-1,protección ambiental moderado poder salvaguardar ecosistema mismo tiempo apoyar crecimiento
7,Los aumentos moderados del salario mínimo pueden aumentar los ingresos sin perjudicar el empleo.,0,-1,aumento moderado salario mínimo poder aumentar ingreso perjudicar empleo
8,Las regulaciones laborales moderadas pueden proteger los derechos de los trabajadores sin sofocar la innovación empresarial.,0,-1,regulación laboral moderado poder proteger derecho trabajador sofocar innovación empresarial
9,Un enfoque equilibrado de las políticas laborales debe garantizar tanto la productividad como los derechos de los trabajadores.,0,0,enfoque equilibrado política laboral deber garantizar productividad derechos trabajador
10,Una gobernanza eficaz equilibra el crecimiento económico con la responsabilidad social y la gestión ambiental.,0,0,gobernanza eficaz equilibro crecimiento económico responsabilidad social gestión ambiental
11,La reducción de los impuestos sobre las ganancias de capital fomentará la inversión y el crecimiento económico.,0,1,reducción impuesto ganancia capital fomentar inversión crecimiento económico
12,El apoyo a la formación profesional puede subsanar las deficiencias en materia de cualificaciones y aumentar las oportunidades de empleo.,0,1,apoyo formación profesional poder subsanar deficiencia materia cualificación aumentar oportunidad empleo
13,La gobernanza debe equilibrar la libertad de mercado con la necesaria supervisión normativa.,0,0,gobernanza deber equilibrar libertad mercado necesario supervisión normativo
14,Las políticas económicas deben garantizar el crecimiento y promover al mismo tiempo oportunidades justas para todos.,0,0,política económico deber garantizar crecimiento promover mismo tiempo oportunidad justo
15,La promoción de políticas comerciales equilibradas puede fomentar el crecimiento económico y la competitividad.,0,1,promoción política comercial equilibrado poder fomentar crecimiento económico competitividad
16,Las decisiones políticas deben sopesar tanto los beneficios económicos como las repercusiones sociales.,0,0,decisión política deber sopesar beneficio económico repercusión social
17,Las políticas económicas deberían apoyar la competitividad y al mismo tiempo promover la inclusión social.,0,0,política económico deber apoyar competitividad mismo tiempo promover inclusión social
18,Los incentivos fiscales moderados pueden estimular la inversión sin reducir significativamente los ingresos públicos.,0,1,incentivo fiscal moderado poder estimular inversión reducir significativamente ingreso público
19,Los recortes fiscales para las personas con altos ingresos estimularán la inversión y el crecimiento económico.,0,1,recorte fiscal persona alto ingreso estimular inversión crecimiento económico
20,Las políticas energéticas equilibradas deben promover tanto la sostenibilidad como la viabilidad económica.,0,1,política energético equilibrado deber promover sostenibilidad viabilidad económico
21,La promoción de soluciones bipartidistas puede conducir a políticas más equilibradas y eficaces.,0,0,promoción solución bipartidista poder conducir política equilibrado eficaz
22,Las políticas fiscales moderadas deben tener por objeto estimular el crecimiento y garantizar al mismo tiempo la equidad.,0,1,política fiscal moderado deber tener objeto estimular crecimiento garantizar mismo tiempo equidad
23,Invertir en la salud pública puede conducir a una sociedad más sana y productiva.,0,-1,invertir salud público poder conducir sociedad sano productivo
24,La ampliación del acceso a una vivienda asequible puede reducir las disparidades económicas.,0,-1,ampliación acceso vivienda asequible poder reducir disparidad económico
25,Las regulaciones ambientales moderadas pueden proteger los ecosistemas al tiempo que apoyan la actividad económica.,0,-1,regulación ambiental moderado poder proteger ecosistema tiempo apoyar actividad económico
26,Las políticas fiscales moderadas ayudan a mantener la estabilidad y el crecimiento económicos.,0,1,política fiscal moderado ayudar mantener estabilidad crecimiento económico
27,Las estrategias económicas deben centrarse tanto en la competitividad como en el crecimiento equitativo.,0,0,estrategia económico deber centrar él competitividad crecimiento equitativo
28,El apoyo a la investigación sobre energías limpias puede impulsar el crecimiento económico y la sostenibilidad medioambiental.,0,-1,apoyo investigación energía limpio poder impulsar crecimiento económico sostenibilidad medioambiental
29,En la formulación de políticas eficaces se deberían tener en cuenta tanto los beneficios económicos como los efectos sociales.,0,0,formulación política eficaz deber tener cuenta beneficio económico efecto social
30,Las reformas moderadas de la seguridad pública deben equilibrar la aplicación con las relaciones comunitarias.,0,1,reforma moderado seguridad público deber equilibrar aplicación relación comunitario
31,La desgravación fiscal para las personas de ingresos altos puede llevar a una mayor inversión en la economía.,0,1,desgravación fiscal persona ingreso alto poder llevar mayor inversión economío
32,La gobernanza debe promover tanto el progreso económico como la inclusión social.,0,0,gobernanza deber promover progreso económico inclusión social
33,La ampliación de la financiación de la educación es fundamental para garantizar la igualdad de oportunidades para todos los estudiantes.,0,-1,ampliación financiación educación fundamental garantizar igualdad oportunidad estudiant
34,La inversión pública en asistencia sanitaria puede llevar a una población más sana y más productiva.,0,-1,inversión público asistencia sanitario poder llevar población sano productivo
35,El discurso político constructivo debe abarcar una variedad de perspectivas para encontrar un terreno común.,0,0,discurso político constructivo deber abarcar variedad perspectiva encontrar terreno común
36,"En una opinión equilibrada, ambas partes del argumento sugieren que las políticas económicas deben promover el crecimiento y garantizar al mismo tiempo la equidad.",0,0,opinión equilibrado ambos parte argumento sugerir política económico deber promover crecimiento garantizar mismo tiempo equidad
37,La promoción de la igualdad de oportunidades en la educación es esencial para la justicia social y económica.,0,-1,promoción igualdad oportunidad educación esencial justicia social económico
