Text,Code,libertad_personal_score,libertad_economica_score,text_processed
Este programa irá acompañado de una agenda de conciencia colectiva internacional para que los ciudadanos de países consumidores contribuyan con la adquisición de productos sustitutos a la solución de los problemas sociales en los países productores.,107,0,0,programa ir acompañar agenda conciencia colectivo internacional ciudadano país consumidor contribuir adquisición producto sustituto solución problema social país productor
"Ambos programas irán acompañados de una agenda de conciencia colectiva internacional, para que los gobiernos y ciudadanos de países consumidores contribuyan con la adquisición de productos sustitutos.",107,0,0,ambos programa ir acompañado agenda conciencia colectivo internacional gobierno ciudadano país consumidor contribuir adquisición producto sustituto
"2. EDUCACIÓN, PREVENCIÓN Y CULTURA DE NO A LA DROGA:",H,0,0,educación prevención cultura no drogar
"Es un deber central de la sociedad contar con una cultura de prevención del consumo de Drogas, reconociendo su naturaleza como problema de salud pública.",605.1,-1,0,deber central sociedad contar cultura prevención consumo droga reconocer naturaleza problema salud público
La prevención debe basarse en tres pilares:,605.1,-1,0,prevención deber basar él tres pilar
a. PREVENCIÓN DESDE LA COMUNICACIÓN:,H,0,0,prevención comunicación
"El Estado utilizará toda su capacidad informativa con el apoyo de los medios de comunicación, mediante campañas creativas de código cívico que creen una conciencia de rechazo social al consumo de drogas.",605.1,-1,0,utilizar todo capacidad informativo apoyo medio comunicación mediante campaña creativo código cívico creer conciencia rechazo social consumo droga
b. PREVENCIÓN EDUCATIVA:,H,0,0,b prevención educativo
"comprometeremos a todas las instituciones educativas en el fomento de la prevención, mediante aplicaciones académicas que informen con claridad sobre los efectos nocivos de las drogas.",506,0,0,comprometerer todo institución educativo fomento prevención mediante aplicación académico informar claridad efecto nocivo droga
Esta acción debe fundarse en una visión pedagógica y patrocinar el debate y la discusión constructiva con los estudiantes.,506,0,0,acción deber fundar él visión pedagógicar patrocinar debate discusión constructivo estudiante
c. PREVENCIÓN FAMILIAR:,H,0,0,c prevención familiar
