Text,Code,libertad_personal_score,libertad_economica_score,text_processed
Conforma un buen equipo para servir y ser útil a los panameños.,202.1,0,0,conforma buen equipo servir ser útil panameño
"Es aquel que planifica, consulta, dice la verdad, defiende los intereses del país y los hace respetar, facilita las buenas inversiones privadas, paga sus cuentas a tiempo, reduce la tramitología excesiva, construye políticas de Estado que perduren en el tiempo y hace sin robar.",202.1,0,0,aquel planifico consulta decir verdad defender interés país hacer respetar facilitar buena inversión privado pagar cuenta tiempo reducir tramitología excesivo construir política perdurir tiempo hacer robar
Se caracteriza por la eficiencia y la transparencia en la gestión pública.,202.1,0,0,caracterizar eficiencia transparencia gestión público
Le da al país una Ley de Contrataciones Públicas que elimine la discrecionalidad de los funcionarios públicos.,303,0,0,dar país ley contratación público eliminir discrecionalidad funcionario público
"Ello es el estricto manejo de las finanzas públicas, rendición de cuentas y digitalización de los trámites para conocimiento de todos los ciudadanos.",303,0,0,él estrictir manejo finanza público rendición cuenta digitalización trámite conocimiento ciudadano
Procura la implementación cualitativa de la descentralización y el fortalecimiento de los gobiernos locales e impulsa la participación ciudadana.,301,0,0,procurar implementación cualitativo descentralización fortalecimiento gobierno local impulsar participación ciudadano
"Asegura un estado de confianza, de valores éticos y morales.",202.1,0,0,asegurar confianza valor ético moral
Respeta el Pacto de Estado por la Justicia y los aportes de la Concertación Nacional para el Desarrollo.,202.1,0,0,respetar pacto justicia aport concertación nacional desarrollo
Respeta la separación de los poderes.,202.1,0,0,respetar separación poder
Y es un gobierno con la gente.,202.1,0,0,gobierno gente
Gobernar es un asunto serio.,202.1,0,0,gobernar asunto serio
ESTADO DE DERECHO,H,0,0,derecho
"Es necesaria una reforma del Estado, que implica la adecuación de las instituciones a su misión de servicio público; un Estado de ley y orden y un sistema de justicia confiable y eficiente.",202.1,0,0,necesario reforma implicar adecuación institución misión servicio público ley orden sistema justicia confiable eficiente
"Ser el país decente, luchando frontalmente por detener a la corrupción;",304,0,0,ser país decente luchar frontalmente detener corrupción
vivir en una sociedad con seguridad ciudadana.,202.1,0,0,vivir sociedad seguridad ciudadano
"Se ha desarrollado una cultura política de clientelismo, corrupción e impunidad.",304,0,0,desarrollado cultura político clientelismo corrupción impunidad
Existe una desconfianza ciudadana generalizada.,304,0,0,existir desconfianza ciudadano generalizado
"El panameño no se siente representado por un gobierno que parece servir a la clase política y a intereses económicos particulares, y no al bien común.",304,0,0,panameño no representado gobierno parecer servir clase político interés económico particular no bien común
