Epoch 1/20, Train Personal F1: 0.7458, Train Economic F1: 0.7016, Validation Loss: 1.4697, Validation Personal F1: 0.6945, Validation Economic F1: 0.6639
Epoch 2/20, Train Personal F1: 0.7935, Train Economic F1: 0.7405, Validation Loss: 1.4653, Validation Personal F1: 0.7072, Validation Economic F1: 0.6494
Epoch 3/20, Train Personal F1: 0.8336, Train Economic F1: 0.8054, Validation Loss: 1.4170, Validation Personal F1: 0.7230, Validation Economic F1: 0.7020
Epoch 4/20, Train Personal F1: 0.8934, Train Economic F1: 0.8620, Validation Loss: 1.4525, Validation Personal F1: 0.7131, Validation Economic F1: 0.6770
Epoch 5/20, Train Personal F1: 0.9283, Train Economic F1: 0.9047, Validation Loss: 1.5343, Validation Personal F1: 0.7192, Validation Economic F1: 0.6934
Epoch 6/20, Train Personal F1: 0.9590, Train Economic F1: 0.9405, Validation Loss: 1.6603, Validation Personal F1: 0.7220, Validation Economic F1: 0.6832
Epoch 7/20, Train Personal F1: 0.9738, Train Economic F1: 0.9606, Validation Loss: 1.8141, Validation Personal F1: 0.7211, Validation Economic F1: 0.6867
Epoch 8/20, Train Personal F1: 0.9797, Train Economic F1: 0.9840, Validation Loss: 2.0556, Validation Personal F1: 0.7193, Validation Economic F1: 0.6728
Epoch 9/20, Train Personal F1: 0.9903, Train Economic F1: 0.9815, Validation Loss: 2.1867, Validation Personal F1: 0.7169, Validation Economic F1: 0.6813
Epoch 10/20, Train Personal F1: 0.9935, Train Economic F1: 0.9946, Validation Loss: 2.2540, Validation Personal F1: 0.7284, Validation Economic F1: 0.6766
Epoch 11/20, Train Personal F1: 0.9915, Train Economic F1: 0.9960, Validation Loss: 2.4469, Validation Personal F1: 0.7080, Validation Economic F1: 0.6732
Epoch 12/20, Train Personal F1: 0.9966, Train Economic F1: 0.9949, Validation Loss: 2.5285, Validation Personal F1: 0.7177, Validation Economic F1: 0.6808
Epoch 13/20, Train Personal F1: 0.9975, Train Economic F1: 0.9967, Validation Loss: 2.6811, Validation Personal F1: 0.7142, Validation Economic F1: 0.6780
Epoch 14/20, Train Personal F1: 0.9984, Train Economic F1: 0.9979, Validation Loss: 2.6535, Validation Personal F1: 0.7226, Validation Economic F1: 0.6698
Epoch 15/20, Train Personal F1: 0.9980, Train Economic F1: 0.9989, Validation Loss: 2.8572, Validation Personal F1: 0.7167, Validation Economic F1: 0.6809
Epoch 16/20, Train Personal F1: 0.9984, Train Economic F1: 0.9985, Validation Loss: 2.8919, Validation Personal F1: 0.7190, Validation Economic F1: 0.6767
Epoch 17/20, Train Personal F1: 0.9979, Train Economic F1: 0.9981, Validation Loss: 2.9708, Validation Personal F1: 0.7098, Validation Economic F1: 0.6765
Epoch 18/20, Train Personal F1: 0.9983, Train Economic F1: 0.9983, Validation Loss: 3.0281, Validation Personal F1: 0.7150, Validation Economic F1: 0.6803
Epoch 19/20, Train Personal F1: 0.9990, Train Economic F1: 0.9980, Validation Loss: 3.0572, Validation Personal F1: 0.7195, Validation Economic F1: 0.6863
Epoch 20/20, Train Personal F1: 0.9993, Train Economic F1: 0.9989, Validation Loss: 3.1469, Validation Personal F1: 0.7191, Validation Economic F1: 0.6815
