Epoch 1/20, Train Personal F1: 0.8178, Train Economic F1: 0.7709, Validation Loss: 1.1129, Validation Personal F1: 0.7954, Validation Economic F1: 0.7510
Epoch 2/20, Train Personal F1: 0.8729, Train Economic F1: 0.8279, Validation Loss: 0.9968, Validation Personal F1: 0.8248, Validation Economic F1: 0.7846
Epoch 3/20, Train Personal F1: 0.9094, Train Economic F1: 0.8656, Validation Loss: 0.9283, Validation Personal F1: 0.8464, Validation Economic F1: 0.7997
Epoch 4/20, Train Personal F1: 0.9302, Train Economic F1: 0.8869, Validation Loss: 0.9211, Validation Personal F1: 0.8560, Validation Economic F1: 0.8090
Epoch 5/20, Train Personal F1: 0.9530, Train Economic F1: 0.9058, Validation Loss: 0.8691, Validation Personal F1: 0.8752, Validation Economic F1: 0.8216
Epoch 6/20, Train Personal F1: 0.9605, Train Economic F1: 0.9270, Validation Loss: 0.8654, Validation Personal F1: 0.8783, Validation Economic F1: 0.8263
Epoch 7/20, Train Personal F1: 0.9675, Train Economic F1: 0.9355, Validation Loss: 0.8934, Validation Personal F1: 0.8830, Validation Economic F1: 0.8206
Epoch 8/20, Train Personal F1: 0.9679, Train Economic F1: 0.9477, Validation Loss: 0.9306, Validation Personal F1: 0.8806, Validation Economic F1: 0.8267
Epoch 9/20, Train Personal F1: 0.9739, Train Economic F1: 0.9549, Validation Loss: 0.9275, Validation Personal F1: 0.8849, Validation Economic F1: 0.8269
Epoch 10/20, Train Personal F1: 0.9777, Train Economic F1: 0.9623, Validation Loss: 0.9273, Validation Personal F1: 0.8906, Validation Economic F1: 0.8304
Epoch 11/20, Train Personal F1: 0.9814, Train Economic F1: 0.9646, Validation Loss: 0.9507, Validation Personal F1: 0.8923, Validation Economic F1: 0.8337
Epoch 12/20, Train Personal F1: 0.9800, Train Economic F1: 0.9727, Validation Loss: 0.9975, Validation Personal F1: 0.8877, Validation Economic F1: 0.8324
Epoch 13/20, Train Personal F1: 0.9851, Train Economic F1: 0.9708, Validation Loss: 0.9888, Validation Personal F1: 0.8944, Validation Economic F1: 0.8376
Epoch 14/20, Train Personal F1: 0.9834, Train Economic F1: 0.9778, Validation Loss: 1.0340, Validation Personal F1: 0.8888, Validation Economic F1: 0.8366
Epoch 15/20, Train Personal F1: 0.9867, Train Economic F1: 0.9781, Validation Loss: 1.0383, Validation Personal F1: 0.8940, Validation Economic F1: 0.8344
Epoch 16/20, Train Personal F1: 0.9861, Train Economic F1: 0.9810, Validation Loss: 1.0560, Validation Personal F1: 0.8915, Validation Economic F1: 0.8382
Epoch 17/20, Train Personal F1: 0.9873, Train Economic F1: 0.9828, Validation Loss: 1.0406, Validation Personal F1: 0.8919, Validation Economic F1: 0.8369
Epoch 18/20, Train Personal F1: 0.9876, Train Economic F1: 0.9833, Validation Loss: 1.0756, Validation Personal F1: 0.8925, Validation Economic F1: 0.8376
Epoch 19/20, Train Personal F1: 0.9893, Train Economic F1: 0.9857, Validation Loss: 1.1054, Validation Personal F1: 0.8922, Validation Economic F1: 0.8342
Epoch 20/20, Train Personal F1: 0.9900, Train Economic F1: 0.9873, Validation Loss: 1.0559, Validation Personal F1: 0.8958, Validation Economic F1: 0.8375
