Epoch 1/20, Train Personal F1: 0.8893, Train Economic F1: 0.9340, Validation Loss: 0.5367, Validation Personal F1: 0.8758, Validation Economic F1: 0.9144
Epoch 2/20, Train Personal F1: 0.9455, Train Economic F1: 0.9595, Validation Loss: 0.4082, Validation Personal F1: 0.9088, Validation Economic F1: 0.9155
Epoch 3/20, Train Personal F1: 0.9519, Train Economic F1: 0.9726, Validation Loss: 0.4240, Validation Personal F1: 0.9017, Validation Economic F1: 0.9295
Epoch 4/20, Train Personal F1: 0.9556, Train Economic F1: 0.9647, Validation Loss: 0.4425, Validation Personal F1: 0.9114, Validation Economic F1: 0.9234
Epoch 5/20, Train Personal F1: 0.9852, Train Economic F1: 0.9855, Validation Loss: 0.4050, Validation Personal F1: 0.9240, Validation Economic F1: 0.9352
Epoch 6/20, Train Personal F1: 0.9961, Train Economic F1: 0.9906, Validation Loss: 0.4460, Validation Personal F1: 0.9297, Validation Economic F1: 0.9317
Epoch 7/20, Train Personal F1: 0.9961, Train Economic F1: 0.9953, Validation Loss: 0.4969, Validation Personal F1: 0.9202, Validation Economic F1: 0.9289
Epoch 8/20, Train Personal F1: 0.9961, Train Economic F1: 0.9973, Validation Loss: 0.5861, Validation Personal F1: 0.9102, Validation Economic F1: 0.9296
Epoch 9/20, Train Personal F1: 0.9953, Train Economic F1: 0.9930, Validation Loss: 0.6607, Validation Personal F1: 0.9137, Validation Economic F1: 0.9111
Epoch 10/20, Train Personal F1: 0.9980, Train Economic F1: 0.9988, Validation Loss: 0.6105, Validation Personal F1: 0.9120, Validation Economic F1: 0.9319
Epoch 11/20, Train Personal F1: 0.9953, Train Economic F1: 0.9942, Validation Loss: 0.6708, Validation Personal F1: 0.9105, Validation Economic F1: 0.9239
Epoch 12/20, Train Personal F1: 0.9973, Train Economic F1: 0.9988, Validation Loss: 0.6122, Validation Personal F1: 0.9177, Validation Economic F1: 0.9328
Epoch 13/20, Train Personal F1: 1.0000, Train Economic F1: 1.0000, Validation Loss: 0.6337, Validation Personal F1: 0.9190, Validation Economic F1: 0.9375
Epoch 14/20, Train Personal F1: 0.9988, Train Economic F1: 0.9996, Validation Loss: 0.6945, Validation Personal F1: 0.9159, Validation Economic F1: 0.9292
Epoch 15/20, Train Personal F1: 0.9965, Train Economic F1: 0.9996, Validation Loss: 0.7204, Validation Personal F1: 0.9179, Validation Economic F1: 0.9350
Epoch 16/20, Train Personal F1: 0.9949, Train Economic F1: 0.9953, Validation Loss: 0.7392, Validation Personal F1: 0.9089, Validation Economic F1: 0.9272
Epoch 17/20, Train Personal F1: 0.9836, Train Economic F1: 0.9882, Validation Loss: 0.8436, Validation Personal F1: 0.9085, Validation Economic F1: 0.9170
Epoch 18/20, Train Personal F1: 0.9965, Train Economic F1: 0.9961, Validation Loss: 0.6969, Validation Personal F1: 0.9133, Validation Economic F1: 0.9206
Epoch 19/20, Train Personal F1: 0.9992, Train Economic F1: 0.9996, Validation Loss: 0.6716, Validation Personal F1: 0.9117, Validation Economic F1: 0.9334
Epoch 20/20, Train Personal F1: 1.0000, Train Economic F1: 1.0000, Validation Loss: 0.6546, Validation Personal F1: 0.9219, Validation Economic F1: 0.9405
