Epoch 1/20, Train Personal F1: 0.7888, Train Economic F1: 0.7595, Validation Loss: 1.1652, Validation Personal F1: 0.7725, Validation Economic F1: 0.7431
Epoch 2/20, Train Personal F1: 0.8504, Train Economic F1: 0.8070, Validation Loss: 1.0506, Validation Personal F1: 0.8099, Validation Economic F1: 0.7648
Epoch 3/20, Train Personal F1: 0.8944, Train Economic F1: 0.8472, Validation Loss: 0.9819, Validation Personal F1: 0.8320, Validation Economic F1: 0.7867
Epoch 4/20, Train Personal F1: 0.9276, Train Economic F1: 0.8804, Validation Loss: 0.9378, Validation Personal F1: 0.8510, Validation Economic F1: 0.7997
Epoch 5/20, Train Personal F1: 0.9446, Train Economic F1: 0.9017, Validation Loss: 0.9129, Validation Personal F1: 0.8639, Validation Economic F1: 0.8095
Epoch 6/20, Train Personal F1: 0.9601, Train Economic F1: 0.9230, Validation Loss: 0.9114, Validation Personal F1: 0.8747, Validation Economic F1: 0.8156
Epoch 7/20, Train Personal F1: 0.9610, Train Economic F1: 0.9359, Validation Loss: 1.0009, Validation Personal F1: 0.8695, Validation Economic F1: 0.8153
Epoch 8/20, Train Personal F1: 0.9705, Train Economic F1: 0.9485, Validation Loss: 0.9643, Validation Personal F1: 0.8779, Validation Economic F1: 0.8177
Epoch 9/20, Train Personal F1: 0.9755, Train Economic F1: 0.9571, Validation Loss: 0.9717, Validation Personal F1: 0.8813, Validation Economic F1: 0.8199
Epoch 10/20, Train Personal F1: 0.9808, Train Economic F1: 0.9626, Validation Loss: 0.9959, Validation Personal F1: 0.8870, Validation Economic F1: 0.8265
Epoch 11/20, Train Personal F1: 0.9821, Train Economic F1: 0.9706, Validation Loss: 1.0393, Validation Personal F1: 0.8853, Validation Economic F1: 0.8241
Epoch 12/20, Train Personal F1: 0.9836, Train Economic F1: 0.9732, Validation Loss: 1.0885, Validation Personal F1: 0.8852, Validation Economic F1: 0.8245
Epoch 13/20, Train Personal F1: 0.9854, Train Economic F1: 0.9743, Validation Loss: 1.1295, Validation Personal F1: 0.8882, Validation Economic F1: 0.8291
Epoch 14/20, Train Personal F1: 0.9864, Train Economic F1: 0.9798, Validation Loss: 1.1323, Validation Personal F1: 0.8877, Validation Economic F1: 0.8292
Epoch 15/20, Train Personal F1: 0.9878, Train Economic F1: 0.9811, Validation Loss: 1.1756, Validation Personal F1: 0.8886, Validation Economic F1: 0.8262
Epoch 16/20, Train Personal F1: 0.9892, Train Economic F1: 0.9845, Validation Loss: 1.1397, Validation Personal F1: 0.8891, Validation Economic F1: 0.8279
Epoch 17/20, Train Personal F1: 0.9893, Train Economic F1: 0.9836, Validation Loss: 1.1648, Validation Personal F1: 0.8894, Validation Economic F1: 0.8220
Epoch 18/20, Train Personal F1: 0.9896, Train Economic F1: 0.9859, Validation Loss: 1.1950, Validation Personal F1: 0.8886, Validation Economic F1: 0.8299
Epoch 19/20, Train Personal F1: 0.9893, Train Economic F1: 0.9865, Validation Loss: 1.1916, Validation Personal F1: 0.8855, Validation Economic F1: 0.8273
Epoch 20/20, Train Personal F1: 0.9914, Train Economic F1: 0.9873, Validation Loss: 1.2577, Validation Personal F1: 0.8894, Validation Economic F1: 0.8305
