Epoch 1/20, Train Personal F1: 0.8252, Train Economic F1: 0.7389, Validation Loss: 1.0856, Validation Personal F1: 0.8163, Validation Economic F1: 0.7253
Epoch 2/20, Train Personal F1: 0.8403, Train Economic F1: 0.7650, Validation Loss: 1.0663, Validation Personal F1: 0.8236, Validation Economic F1: 0.7375
Epoch 3/20, Train Personal F1: 0.8562, Train Economic F1: 0.7898, Validation Loss: 1.0403, Validation Personal F1: 0.8254, Validation Economic F1: 0.7436
Epoch 4/20, Train Personal F1: 0.8713, Train Economic F1: 0.8027, Validation Loss: 1.0394, Validation Personal F1: 0.8271, Validation Economic F1: 0.7398
Epoch 5/20, Train Personal F1: 0.8919, Train Economic F1: 0.8320, Validation Loss: 1.0547, Validation Personal F1: 0.8323, Validation Economic F1: 0.7484
Epoch 6/20, Train Personal F1: 0.9088, Train Economic F1: 0.8548, Validation Loss: 1.0777, Validation Personal F1: 0.8326, Validation Economic F1: 0.7492
Epoch 7/20, Train Personal F1: 0.9199, Train Economic F1: 0.8754, Validation Loss: 1.1209, Validation Personal F1: 0.8299, Validation Economic F1: 0.7459
Epoch 8/20, Train Personal F1: 0.9313, Train Economic F1: 0.8914, Validation Loss: 1.1702, Validation Personal F1: 0.8297, Validation Economic F1: 0.7494
Epoch 9/20, Train Personal F1: 0.9399, Train Economic F1: 0.9050, Validation Loss: 1.2025, Validation Personal F1: 0.8280, Validation Economic F1: 0.7475
Epoch 10/20, Train Personal F1: 0.9495, Train Economic F1: 0.9177, Validation Loss: 1.2127, Validation Personal F1: 0.8282, Validation Economic F1: 0.7443
Epoch 11/20, Train Personal F1: 0.9515, Train Economic F1: 0.9252, Validation Loss: 1.2542, Validation Personal F1: 0.8299, Validation Economic F1: 0.7466
Epoch 12/20, Train Personal F1: 0.9609, Train Economic F1: 0.9359, Validation Loss: 1.2967, Validation Personal F1: 0.8303, Validation Economic F1: 0.7449
Epoch 13/20, Train Personal F1: 0.9649, Train Economic F1: 0.9401, Validation Loss: 1.3839, Validation Personal F1: 0.8326, Validation Economic F1: 0.7442
Epoch 14/20, Train Personal F1: 0.9676, Train Economic F1: 0.9477, Validation Loss: 1.3928, Validation Personal F1: 0.8273, Validation Economic F1: 0.7442
Epoch 15/20, Train Personal F1: 0.9720, Train Economic F1: 0.9497, Validation Loss: 1.4148, Validation Personal F1: 0.8316, Validation Economic F1: 0.7417
Epoch 16/20, Train Personal F1: 0.9739, Train Economic F1: 0.9561, Validation Loss: 1.4505, Validation Personal F1: 0.8289, Validation Economic F1: 0.7420
Epoch 17/20, Train Personal F1: 0.9763, Train Economic F1: 0.9598, Validation Loss: 1.4626, Validation Personal F1: 0.8313, Validation Economic F1: 0.7440
Epoch 18/20, Train Personal F1: 0.9770, Train Economic F1: 0.9647, Validation Loss: 1.5255, Validation Personal F1: 0.8316, Validation Economic F1: 0.7483
Epoch 19/20, Train Personal F1: 0.9786, Train Economic F1: 0.9670, Validation Loss: 1.5447, Validation Personal F1: 0.8305, Validation Economic F1: 0.7453
Epoch 20/20, Train Personal F1: 0.9799, Train Economic F1: 0.9701, Validation Loss: 1.6117, Validation Personal F1: 0.8278, Validation Economic F1: 0.7436
