Epoch 1/20, Train Personal F1: 1.0000, Train Economic F1: 0.7334, Validation Loss: 0.6953, Validation Personal F1: 1.0000, Validation Economic F1: 0.7215
Epoch 2/20, Train Personal F1: 1.0000, Train Economic F1: 0.8386, Validation Loss: 0.5714, Validation Personal F1: 1.0000, Validation Economic F1: 0.7691
Epoch 3/20, Train Personal F1: 1.0000, Train Economic F1: 0.8916, Validation Loss: 0.5122, Validation Personal F1: 1.0000, Validation Economic F1: 0.7806
Epoch 4/20, Train Personal F1: 1.0000, Train Economic F1: 0.9250, Validation Loss: 0.4132, Validation Personal F1: 1.0000, Validation Economic F1: 0.8321
Epoch 5/20, Train Personal F1: 1.0000, Train Economic F1: 0.9368, Validation Loss: 0.5059, Validation Personal F1: 1.0000, Validation Economic F1: 0.7819
Epoch 6/20, Train Personal F1: 1.0000, Train Economic F1: 0.9665, Validation Loss: 0.4446, Validation Personal F1: 1.0000, Validation Economic F1: 0.8438
Epoch 7/20, Train Personal F1: 1.0000, Train Economic F1: 0.9863, Validation Loss: 0.5061, Validation Personal F1: 1.0000, Validation Economic F1: 0.8194
Epoch 8/20, Train Personal F1: 1.0000, Train Economic F1: 0.9863, Validation Loss: 0.5401, Validation Personal F1: 1.0000, Validation Economic F1: 0.8371
Epoch 9/20, Train Personal F1: 1.0000, Train Economic F1: 0.9824, Validation Loss: 0.5362, Validation Personal F1: 1.0000, Validation Economic F1: 0.8515
Epoch 10/20, Train Personal F1: 1.0000, Train Economic F1: 0.9883, Validation Loss: 0.5208, Validation Personal F1: 1.0000, Validation Economic F1: 0.8451
Epoch 11/20, Train Personal F1: 1.0000, Train Economic F1: 0.9922, Validation Loss: 0.5481, Validation Personal F1: 1.0000, Validation Economic F1: 0.8442
Epoch 12/20, Train Personal F1: 1.0000, Train Economic F1: 0.9864, Validation Loss: 0.6502, Validation Personal F1: 1.0000, Validation Economic F1: 0.8202
Epoch 13/20, Train Personal F1: 1.0000, Train Economic F1: 0.9941, Validation Loss: 0.6041, Validation Personal F1: 1.0000, Validation Economic F1: 0.8585
Epoch 14/20, Train Personal F1: 1.0000, Train Economic F1: 0.9922, Validation Loss: 0.6591, Validation Personal F1: 1.0000, Validation Economic F1: 0.8192
Epoch 15/20, Train Personal F1: 1.0000, Train Economic F1: 0.9961, Validation Loss: 0.6069, Validation Personal F1: 1.0000, Validation Economic F1: 0.8521
Epoch 16/20, Train Personal F1: 1.0000, Train Economic F1: 0.9961, Validation Loss: 0.6442, Validation Personal F1: 1.0000, Validation Economic F1: 0.8585
Epoch 17/20, Train Personal F1: 1.0000, Train Economic F1: 0.9961, Validation Loss: 0.6033, Validation Personal F1: 1.0000, Validation Economic F1: 0.8670
Epoch 18/20, Train Personal F1: 1.0000, Train Economic F1: 0.9941, Validation Loss: 0.5782, Validation Personal F1: 1.0000, Validation Economic F1: 0.8450
Epoch 19/20, Train Personal F1: 1.0000, Train Economic F1: 0.9961, Validation Loss: 0.6074, Validation Personal F1: 1.0000, Validation Economic F1: 0.8666
Epoch 20/20, Train Personal F1: 1.0000, Train Economic F1: 0.9961, Validation Loss: 0.6510, Validation Personal F1: 1.0000, Validation Economic F1: 0.8442
