Epoch 1/20, Train Personal F1: 0.9082, Train Economic F1: 0.9302, Validation Loss: 0.4447, Validation Personal F1: 0.9125, Validation Economic F1: 0.9259
Epoch 2/20, Train Personal F1: 0.9479, Train Economic F1: 0.9554, Validation Loss: 0.3471, Validation Personal F1: 0.9250, Validation Economic F1: 0.9278
Epoch 3/20, Train Personal F1: 0.9668, Train Economic F1: 0.9730, Validation Loss: 0.3364, Validation Personal F1: 0.9208, Validation Economic F1: 0.9295
Epoch 4/20, Train Personal F1: 0.9758, Train Economic F1: 0.9779, Validation Loss: 0.3871, Validation Personal F1: 0.9125, Validation Economic F1: 0.9302
Epoch 5/20, Train Personal F1: 0.9823, Train Economic F1: 0.9844, Validation Loss: 0.4015, Validation Personal F1: 0.9172, Validation Economic F1: 0.9353
Epoch 6/20, Train Personal F1: 0.9898, Train Economic F1: 0.9891, Validation Loss: 0.4028, Validation Personal F1: 0.9206, Validation Economic F1: 0.9343
Epoch 7/20, Train Personal F1: 0.9949, Train Economic F1: 0.9942, Validation Loss: 0.3939, Validation Personal F1: 0.9278, Validation Economic F1: 0.9363
Epoch 8/20, Train Personal F1: 0.9910, Train Economic F1: 0.9902, Validation Loss: 0.4553, Validation Personal F1: 0.9265, Validation Economic F1: 0.9342
Epoch 9/20, Train Personal F1: 0.9992, Train Economic F1: 0.9984, Validation Loss: 0.5133, Validation Personal F1: 0.9135, Validation Economic F1: 0.9237
Epoch 10/20, Train Personal F1: 0.9980, Train Economic F1: 0.9984, Validation Loss: 0.4918, Validation Personal F1: 0.9093, Validation Economic F1: 0.9333
Epoch 11/20, Train Personal F1: 0.9984, Train Economic F1: 0.9996, Validation Loss: 0.5055, Validation Personal F1: 0.9201, Validation Economic F1: 0.9409
Epoch 12/20, Train Personal F1: 1.0000, Train Economic F1: 1.0000, Validation Loss: 0.4642, Validation Personal F1: 0.9172, Validation Economic F1: 0.9359
Epoch 13/20, Train Personal F1: 0.9965, Train Economic F1: 0.9977, Validation Loss: 0.5448, Validation Personal F1: 0.9208, Validation Economic F1: 0.9306
Epoch 14/20, Train Personal F1: 0.9977, Train Economic F1: 0.9969, Validation Loss: 0.5522, Validation Personal F1: 0.9211, Validation Economic F1: 0.9338
Epoch 15/20, Train Personal F1: 0.9984, Train Economic F1: 0.9988, Validation Loss: 0.5374, Validation Personal F1: 0.9271, Validation Economic F1: 0.9366
Epoch 16/20, Train Personal F1: 0.9992, Train Economic F1: 1.0000, Validation Loss: 0.5465, Validation Personal F1: 0.9273, Validation Economic F1: 0.9357
Epoch 17/20, Train Personal F1: 0.9996, Train Economic F1: 1.0000, Validation Loss: 0.5852, Validation Personal F1: 0.9184, Validation Economic F1: 0.9377
Epoch 18/20, Train Personal F1: 0.9992, Train Economic F1: 0.9992, Validation Loss: 0.6709, Validation Personal F1: 0.9104, Validation Economic F1: 0.9314
Epoch 19/20, Train Personal F1: 1.0000, Train Economic F1: 1.0000, Validation Loss: 0.6333, Validation Personal F1: 0.9115, Validation Economic F1: 0.9248
Epoch 20/20, Train Personal F1: 1.0000, Train Economic F1: 1.0000, Validation Loss: 0.6823, Validation Personal F1: 0.9107, Validation Economic F1: 0.9303
