Epoch 1/20, Train Personal F1: 0.7862, Train Economic F1: 0.7488, Validation Loss: 1.1751, Validation Personal F1: 0.7747, Validation Economic F1: 0.7390
Epoch 2/20, Train Personal F1: 0.8204, Train Economic F1: 0.7822, Validation Loss: 1.1014, Validation Personal F1: 0.7948, Validation Economic F1: 0.7586
Epoch 3/20, Train Personal F1: 0.8572, Train Economic F1: 0.8168, Validation Loss: 1.0479, Validation Personal F1: 0.8147, Validation Economic F1: 0.7760
Epoch 4/20, Train Personal F1: 0.8836, Train Economic F1: 0.8428, Validation Loss: 1.0372, Validation Personal F1: 0.8245, Validation Economic F1: 0.7830
Epoch 5/20, Train Personal F1: 0.9180, Train Economic F1: 0.8714, Validation Loss: 1.0107, Validation Personal F1: 0.8471, Validation Economic F1: 0.7950
Epoch 6/20, Train Personal F1: 0.9256, Train Economic F1: 0.8893, Validation Loss: 1.0522, Validation Personal F1: 0.8457, Validation Economic F1: 0.8006
Epoch 7/20, Train Personal F1: 0.9404, Train Economic F1: 0.9072, Validation Loss: 1.0955, Validation Personal F1: 0.8511, Validation Economic F1: 0.8026
Epoch 8/20, Train Personal F1: 0.9543, Train Economic F1: 0.9232, Validation Loss: 1.1121, Validation Personal F1: 0.8615, Validation Economic F1: 0.8109
Epoch 9/20, Train Personal F1: 0.9576, Train Economic F1: 0.9322, Validation Loss: 1.1994, Validation Personal F1: 0.8604, Validation Economic F1: 0.8045
Epoch 10/20, Train Personal F1: 0.9631, Train Economic F1: 0.9401, Validation Loss: 1.2213, Validation Personal F1: 0.8642, Validation Economic F1: 0.8086
Epoch 11/20, Train Personal F1: 0.9679, Train Economic F1: 0.9510, Validation Loss: 1.3133, Validation Personal F1: 0.8661, Validation Economic F1: 0.8106
Epoch 12/20, Train Personal F1: 0.9717, Train Economic F1: 0.9593, Validation Loss: 1.4495, Validation Personal F1: 0.8682, Validation Economic F1: 0.8125
Epoch 13/20, Train Personal F1: 0.9753, Train Economic F1: 0.9651, Validation Loss: 1.4387, Validation Personal F1: 0.8705, Validation Economic F1: 0.8177
Epoch 14/20, Train Personal F1: 0.9784, Train Economic F1: 0.9674, Validation Loss: 1.5269, Validation Personal F1: 0.8735, Validation Economic F1: 0.8125
Epoch 15/20, Train Personal F1: 0.9744, Train Economic F1: 0.9725, Validation Loss: 1.6668, Validation Personal F1: 0.8658, Validation Economic F1: 0.8147
Epoch 16/20, Train Personal F1: 0.9805, Train Economic F1: 0.9753, Validation Loss: 1.5843, Validation Personal F1: 0.8755, Validation Economic F1: 0.8150
Epoch 17/20, Train Personal F1: 0.9847, Train Economic F1: 0.9767, Validation Loss: 1.6874, Validation Personal F1: 0.8807, Validation Economic F1: 0.8199
Epoch 18/20, Train Personal F1: 0.9837, Train Economic F1: 0.9788, Validation Loss: 1.7115, Validation Personal F1: 0.8773, Validation Economic F1: 0.8174
Epoch 19/20, Train Personal F1: 0.9824, Train Economic F1: 0.9810, Validation Loss: 1.8331, Validation Personal F1: 0.8721, Validation Economic F1: 0.8159
Epoch 20/20, Train Personal F1: 0.9871, Train Economic F1: 0.9828, Validation Loss: 1.7820, Validation Personal F1: 0.8819, Validation Economic F1: 0.8206
