Epoch 1/20, Train Personal F1: 0.8218, Train Economic F1: 0.7375, Validation Loss: 1.0917, Validation Personal F1: 0.8166, Validation Economic F1: 0.7279
Epoch 2/20, Train Personal F1: 0.8341, Train Economic F1: 0.7566, Validation Loss: 1.0690, Validation Personal F1: 0.8214, Validation Economic F1: 0.7365
Epoch 3/20, Train Personal F1: 0.8495, Train Economic F1: 0.7746, Validation Loss: 1.0555, Validation Personal F1: 0.8268, Validation Economic F1: 0.7403
Epoch 4/20, Train Personal F1: 0.8630, Train Economic F1: 0.7952, Validation Loss: 1.0669, Validation Personal F1: 0.8292, Validation Economic F1: 0.7447
Epoch 5/20, Train Personal F1: 0.8787, Train Economic F1: 0.8173, Validation Loss: 1.0821, Validation Personal F1: 0.8327, Validation Economic F1: 0.7482
Epoch 6/20, Train Personal F1: 0.8935, Train Economic F1: 0.8379, Validation Loss: 1.1142, Validation Personal F1: 0.8318, Validation Economic F1: 0.7462
Epoch 7/20, Train Personal F1: 0.9074, Train Economic F1: 0.8582, Validation Loss: 1.1318, Validation Personal F1: 0.8294, Validation Economic F1: 0.7456
Epoch 8/20, Train Personal F1: 0.9111, Train Economic F1: 0.8700, Validation Loss: 1.2801, Validation Personal F1: 0.8179, Validation Economic F1: 0.7402
Epoch 9/20, Train Personal F1: 0.9272, Train Economic F1: 0.8899, Validation Loss: 1.3276, Validation Personal F1: 0.8232, Validation Economic F1: 0.7414
Epoch 10/20, Train Personal F1: 0.9372, Train Economic F1: 0.9025, Validation Loss: 1.4492, Validation Personal F1: 0.8209, Validation Economic F1: 0.7373
Epoch 11/20, Train Personal F1: 0.9457, Train Economic F1: 0.9149, Validation Loss: 1.5012, Validation Personal F1: 0.8196, Validation Economic F1: 0.7366
Epoch 12/20, Train Personal F1: 0.9484, Train Economic F1: 0.9236, Validation Loss: 1.6117, Validation Personal F1: 0.8156, Validation Economic F1: 0.7325
Epoch 13/20, Train Personal F1: 0.9500, Train Economic F1: 0.9299, Validation Loss: 1.7419, Validation Personal F1: 0.8113, Validation Economic F1: 0.7302
Epoch 14/20, Train Personal F1: 0.9546, Train Economic F1: 0.9316, Validation Loss: 1.8703, Validation Personal F1: 0.8099, Validation Economic F1: 0.7257
Epoch 15/20, Train Personal F1: 0.9635, Train Economic F1: 0.9395, Validation Loss: 2.0164, Validation Personal F1: 0.8181, Validation Economic F1: 0.7261
Epoch 16/20, Train Personal F1: 0.9630, Train Economic F1: 0.9493, Validation Loss: 2.0421, Validation Personal F1: 0.8120, Validation Economic F1: 0.7267
Epoch 17/20, Train Personal F1: 0.9620, Train Economic F1: 0.9518, Validation Loss: 2.0542, Validation Personal F1: 0.8088, Validation Economic F1: 0.7243
Epoch 18/20, Train Personal F1: 0.9700, Train Economic F1: 0.9560, Validation Loss: 2.2267, Validation Personal F1: 0.8123, Validation Economic F1: 0.7227
Epoch 19/20, Train Personal F1: 0.9672, Train Economic F1: 0.9596, Validation Loss: 2.3056, Validation Personal F1: 0.8082, Validation Economic F1: 0.7278
Epoch 20/20, Train Personal F1: 0.9669, Train Economic F1: 0.9551, Validation Loss: 2.4572, Validation Personal F1: 0.8099, Validation Economic F1: 0.7228
