Epoch 1/20, Train Personal F1: 1.0000, Train Economic F1: 0.6994, Validation Loss: 0.8605, Validation Personal F1: 1.0000, Validation Economic F1: 0.6058
Epoch 2/20, Train Personal F1: 1.0000, Train Economic F1: 0.7945, Validation Loss: 0.6899, Validation Personal F1: 1.0000, Validation Economic F1: 0.6882
Epoch 3/20, Train Personal F1: 1.0000, Train Economic F1: 0.8595, Validation Loss: 0.5660, Validation Personal F1: 1.0000, Validation Economic F1: 0.7602
Epoch 4/20, Train Personal F1: 1.0000, Train Economic F1: 0.8988, Validation Loss: 0.4903, Validation Personal F1: 1.0000, Validation Economic F1: 0.8094
Epoch 5/20, Train Personal F1: 1.0000, Train Economic F1: 0.8922, Validation Loss: 0.5174, Validation Personal F1: 1.0000, Validation Economic F1: 0.7917
Epoch 6/20, Train Personal F1: 1.0000, Train Economic F1: 0.9315, Validation Loss: 0.4863, Validation Personal F1: 1.0000, Validation Economic F1: 0.7979
Epoch 7/20, Train Personal F1: 1.0000, Train Economic F1: 0.9265, Validation Loss: 0.4965, Validation Personal F1: 1.0000, Validation Economic F1: 0.8030
Epoch 8/20, Train Personal F1: 1.0000, Train Economic F1: 0.9507, Validation Loss: 0.5108, Validation Personal F1: 1.0000, Validation Economic F1: 0.8345
Epoch 9/20, Train Personal F1: 1.0000, Train Economic F1: 0.9376, Validation Loss: 0.5646, Validation Personal F1: 1.0000, Validation Economic F1: 0.7979
Epoch 10/20, Train Personal F1: 1.0000, Train Economic F1: 0.9629, Validation Loss: 0.5672, Validation Personal F1: 1.0000, Validation Economic F1: 0.8341
Epoch 11/20, Train Personal F1: 1.0000, Train Economic F1: 0.9571, Validation Loss: 0.5967, Validation Personal F1: 1.0000, Validation Economic F1: 0.8582
Epoch 12/20, Train Personal F1: 1.0000, Train Economic F1: 0.9629, Validation Loss: 0.6031, Validation Personal F1: 1.0000, Validation Economic F1: 0.8449
Epoch 13/20, Train Personal F1: 1.0000, Train Economic F1: 0.9745, Validation Loss: 0.5287, Validation Personal F1: 1.0000, Validation Economic F1: 0.8434
Epoch 14/20, Train Personal F1: 1.0000, Train Economic F1: 0.9824, Validation Loss: 0.5575, Validation Personal F1: 1.0000, Validation Economic F1: 0.8513
Epoch 15/20, Train Personal F1: 1.0000, Train Economic F1: 0.9824, Validation Loss: 0.6147, Validation Personal F1: 1.0000, Validation Economic F1: 0.8437
Epoch 16/20, Train Personal F1: 1.0000, Train Economic F1: 0.9883, Validation Loss: 0.6345, Validation Personal F1: 1.0000, Validation Economic F1: 0.8361
Epoch 17/20, Train Personal F1: 1.0000, Train Economic F1: 0.9883, Validation Loss: 0.6034, Validation Personal F1: 1.0000, Validation Economic F1: 0.8445
Epoch 18/20, Train Personal F1: 1.0000, Train Economic F1: 0.9883, Validation Loss: 0.6007, Validation Personal F1: 1.0000, Validation Economic F1: 0.8286
Epoch 19/20, Train Personal F1: 1.0000, Train Economic F1: 0.9863, Validation Loss: 0.5854, Validation Personal F1: 1.0000, Validation Economic F1: 0.8596
Epoch 20/20, Train Personal F1: 1.0000, Train Economic F1: 0.9902, Validation Loss: 0.5964, Validation Personal F1: 1.0000, Validation Economic F1: 0.8509
