Epoch 1/20, Train Personal F1: 0.8801, Train Economic F1: 0.9134, Validation Loss: 0.5597, Validation Personal F1: 0.8550, Validation Economic F1: 0.9098
Epoch 2/20, Train Personal F1: 0.9309, Train Economic F1: 0.9319, Validation Loss: 0.3877, Validation Personal F1: 0.9059, Validation Economic F1: 0.9364
Epoch 3/20, Train Personal F1: 0.9428, Train Economic F1: 0.9538, Validation Loss: 0.3520, Validation Personal F1: 0.9149, Validation Economic F1: 0.9384
Epoch 4/20, Train Personal F1: 0.9469, Train Economic F1: 0.9667, Validation Loss: 0.3543, Validation Personal F1: 0.9151, Validation Economic F1: 0.9403
Epoch 5/20, Train Personal F1: 0.9750, Train Economic F1: 0.9723, Validation Loss: 0.3545, Validation Personal F1: 0.9364, Validation Economic F1: 0.9337
Epoch 6/20, Train Personal F1: 0.9796, Train Economic F1: 0.9826, Validation Loss: 0.3676, Validation Personal F1: 0.9300, Validation Economic F1: 0.9413
Epoch 7/20, Train Personal F1: 0.9926, Train Economic F1: 0.9865, Validation Loss: 0.3614, Validation Personal F1: 0.9332, Validation Economic F1: 0.9380
Epoch 8/20, Train Personal F1: 0.9864, Train Economic F1: 0.9973, Validation Loss: 0.4787, Validation Personal F1: 0.9078, Validation Economic F1: 0.9354
Epoch 9/20, Train Personal F1: 0.9980, Train Economic F1: 0.9984, Validation Loss: 0.4651, Validation Personal F1: 0.9285, Validation Economic F1: 0.9417
Epoch 10/20, Train Personal F1: 0.9996, Train Economic F1: 0.9992, Validation Loss: 0.4502, Validation Personal F1: 0.9330, Validation Economic F1: 0.9351
Epoch 11/20, Train Personal F1: 0.9969, Train Economic F1: 0.9996, Validation Loss: 0.5427, Validation Personal F1: 0.9135, Validation Economic F1: 0.9330
Epoch 12/20, Train Personal F1: 0.9992, Train Economic F1: 1.0000, Validation Loss: 0.4993, Validation Personal F1: 0.9333, Validation Economic F1: 0.9454
Epoch 13/20, Train Personal F1: 0.9996, Train Economic F1: 1.0000, Validation Loss: 0.5479, Validation Personal F1: 0.9317, Validation Economic F1: 0.9407
Epoch 14/20, Train Personal F1: 1.0000, Train Economic F1: 1.0000, Validation Loss: 0.5529, Validation Personal F1: 0.9302, Validation Economic F1: 0.9357
Epoch 15/20, Train Personal F1: 1.0000, Train Economic F1: 1.0000, Validation Loss: 0.5274, Validation Personal F1: 0.9330, Validation Economic F1: 0.9408
Epoch 16/20, Train Personal F1: 1.0000, Train Economic F1: 0.9988, Validation Loss: 0.5948, Validation Personal F1: 0.9311, Validation Economic F1: 0.9303
Epoch 17/20, Train Personal F1: 1.0000, Train Economic F1: 1.0000, Validation Loss: 0.6237, Validation Personal F1: 0.9332, Validation Economic F1: 0.9398
Epoch 18/20, Train Personal F1: 0.9996, Train Economic F1: 0.9996, Validation Loss: 0.5893, Validation Personal F1: 0.9375, Validation Economic F1: 0.9502
Epoch 19/20, Train Personal F1: 1.0000, Train Economic F1: 1.0000, Validation Loss: 0.6435, Validation Personal F1: 0.9235, Validation Economic F1: 0.9406
Epoch 20/20, Train Personal F1: 1.0000, Train Economic F1: 0.9996, Validation Loss: 0.7076, Validation Personal F1: 0.9238, Validation Economic F1: 0.9295
