Epoch 1/20, Train Personal F1: 1.0000, Train Economic F1: 0.7584, Validation Loss: 0.8037, Validation Personal F1: 1.0000, Validation Economic F1: 0.6548
Epoch 2/20, Train Personal F1: 1.0000, Train Economic F1: 0.8697, Validation Loss: 0.5893, Validation Personal F1: 1.0000, Validation Economic F1: 0.7278
Epoch 3/20, Train Personal F1: 1.0000, Train Economic F1: 0.9065, Validation Loss: 0.4892, Validation Personal F1: 1.0000, Validation Economic F1: 0.7998
Epoch 4/20, Train Personal F1: 1.0000, Train Economic F1: 0.9548, Validation Loss: 0.4119, Validation Personal F1: 1.0000, Validation Economic F1: 0.8340
Epoch 5/20, Train Personal F1: 1.0000, Train Economic F1: 0.9608, Validation Loss: 0.4748, Validation Personal F1: 1.0000, Validation Economic F1: 0.8226
Epoch 6/20, Train Personal F1: 1.0000, Train Economic F1: 0.9766, Validation Loss: 0.4667, Validation Personal F1: 1.0000, Validation Economic F1: 0.8295
Epoch 7/20, Train Personal F1: 1.0000, Train Economic F1: 0.9883, Validation Loss: 0.4201, Validation Personal F1: 1.0000, Validation Economic F1: 0.8669
Epoch 8/20, Train Personal F1: 1.0000, Train Economic F1: 0.9922, Validation Loss: 0.4714, Validation Personal F1: 1.0000, Validation Economic F1: 0.8481
Epoch 9/20, Train Personal F1: 1.0000, Train Economic F1: 0.9922, Validation Loss: 0.4565, Validation Personal F1: 1.0000, Validation Economic F1: 0.8338
Epoch 10/20, Train Personal F1: 1.0000, Train Economic F1: 0.9922, Validation Loss: 0.4967, Validation Personal F1: 1.0000, Validation Economic F1: 0.8594
Epoch 11/20, Train Personal F1: 1.0000, Train Economic F1: 0.9941, Validation Loss: 0.5089, Validation Personal F1: 1.0000, Validation Economic F1: 0.8526
Epoch 12/20, Train Personal F1: 1.0000, Train Economic F1: 0.9941, Validation Loss: 0.5072, Validation Personal F1: 1.0000, Validation Economic F1: 0.8574
Epoch 13/20, Train Personal F1: 1.0000, Train Economic F1: 0.9941, Validation Loss: 0.5097, Validation Personal F1: 1.0000, Validation Economic F1: 0.8740
Epoch 14/20, Train Personal F1: 1.0000, Train Economic F1: 0.9863, Validation Loss: 0.7006, Validation Personal F1: 1.0000, Validation Economic F1: 0.8333
Epoch 15/20, Train Personal F1: 1.0000, Train Economic F1: 0.9902, Validation Loss: 0.7108, Validation Personal F1: 1.0000, Validation Economic F1: 0.8228
Epoch 16/20, Train Personal F1: 1.0000, Train Economic F1: 0.9902, Validation Loss: 0.7441, Validation Personal F1: 1.0000, Validation Economic F1: 0.8390
Epoch 17/20, Train Personal F1: 1.0000, Train Economic F1: 0.9902, Validation Loss: 0.7043, Validation Personal F1: 1.0000, Validation Economic F1: 0.8203
Epoch 18/20, Train Personal F1: 1.0000, Train Economic F1: 0.9961, Validation Loss: 0.6419, Validation Personal F1: 1.0000, Validation Economic F1: 0.8574
Epoch 19/20, Train Personal F1: 1.0000, Train Economic F1: 0.9961, Validation Loss: 0.6532, Validation Personal F1: 1.0000, Validation Economic F1: 0.8413
Epoch 20/20, Train Personal F1: 1.0000, Train Economic F1: 0.9941, Validation Loss: 0.6540, Validation Personal F1: 1.0000, Validation Economic F1: 0.8564
